41;APTO 3 QTOS,SALA,COZINHA,1 BWC,LAVANDERIA,DEP.EM- ;PREGADA C/BWC.                                    ;R.PRES.EPITACIO PESSOA,50 AP.02    ;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251000;SC;1;2;1134;0;0;13;29600;0;0;1200;789;461; ;                                                  ;                                                  ;U;8175;
42;CASA DE ALVENARIA, 01 SUITE, 01 QUARTO, SALA, COZI;NHA, LAVANDERIA, BANHEIRO E GARAGEM               ;RUA EQUADOR,45                     ;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251000;SC;1;1;149;1;0;24;147000;0;0;1200;2647;4734; ;                                                  ;                                                  ;U;8175;6134
43;APARTAMENTO C/3 QUARTOS,SALA,COZINHA,2 BWC,LAVANDE;RIA,GARAGEM E SACADA.                             ;R.BERNARDO DORBUSCH,590 APTO 301   ;                                                  ;VL.BARPENDI         ;JARAGUA DO SUL           ;89256100;SC;5;2;398;0;0;19;35000;0;0;1000;0;0; ;                                                  ;                                                  ;U;8175;
44;CASA DE ALVENARIA COM 2 QUARTOS,SALA,COZINHA,BWC  ;LAVANDERIA,E GARAGEM.                             ;RUA PADRE MIRANDINHA,84            ;                                                  ;AGUA VERDE          ;JARAGUA DO SUL           ;89251000;SC;14;1;95;0;1;8;22000;0;0;1000;0;0; ;                                                  ;                                                  ;U;8175;
46;CASA DE ALVENARIA, COM 2 QUARTOS,SALA,COZINHA,BWC.;LAVANDERIA.                                       ;RUA PADRE HORACIO   Nº 20          ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89252450;SC;2;1;133;0;0;15;37200;0;0;1200;3426;2442; ;                                                  ;                                                  ;U;8175;
47;APARTAMENTO COM 2 QUARTOS,SALA,COPA/COZINHA,BWC,  ;LAVANDERIA,GARAGEM.                               ;R.JOSE T.RIBEIRO, 1.014 APTO 302   ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89258000;SC;11;2;1034;0;0;15;58000;0;0;1000;6304;5031; ;                                                  ;                                                  ;U;8175;0
48;2 QUARTOS,SALA,COZINHA,BWC,LAVANDERIA,GARAGEM.    ;KITINETE Nº02                                     ;RUA ELEONORA S.PRADI,S/Nº AP.02    ;                                                  ;JARAGUA ESQUERDO    ;JARAGUA DO SUL           ;89251000;SC;9;2;118;0;0;17;33300;0;0;1200;1026;463; ;                                                  ;                                                  ;U;8175;
49;KITINETE-1/02 QUARTOS, SALA, COZINHA, BWC, LAVAND.;                                                  ;R ELEONORA SATLER PRADI S/Nº AP.01 ;                                                  ;JARAGUA ESQUERDO    ; JARAGUA DO SUL          ;89253080;SC;9;2;118;0;0;17;30000;0;0;1200;1088;436; ;                                                  ;                                                  ;U;8175;
50;CASA-3 QTOS,SALA,SALA DE TV,COZINHA,WC,LAVANDERIA,;GARAGEM.                                          ;R.ELEONORA S.PRADI,91              ;                                                  ;JARAGUA ESQUERDO    ;JARAGUA DO SUL           ;89253080;SC;9;1;118;0;0;17;40000;0;0;1200;235;37; ;                                                  ;                                                  ;U;8175;
51;CASA MISTA, COM 2 QUARTOS,SALA, COZINHA,WC,       ;LAVANDERIA E GARAGEM                              ;R.ELEONORA S.PRADI, 87             ;                                                  ;JARAGUA ESQUERDO    ;JARAGUA DO SUL           ;89251000;SC;9;1;118;0;0;16;22500;0;0;1200;1416;2392; ;                                                  ;                                                  ;U;8175;
